"PairID" "X_Pops" "Y_Pops" "EnviVal" "P90" "P60" "P30"
"1" 1 314 345 4.236009 TRUE TRUE TRUE
"2" 1 331 358 -3.211577 TRUE TRUE TRUE
"3" 2 195 27 -2.671135 TRUE FALSE FALSE
"4" 2 208 13 3.509874 TRUE FALSE FALSE
"5" 3 328 96 -3.960445 TRUE TRUE TRUE
"6" 3 315 78 2.670755 TRUE TRUE TRUE
"7" 4 178 110 -1.488681 TRUE TRUE TRUE
"8" 4 162 120 3.333499 TRUE TRUE TRUE
"9" 5 173 329 2.785733 TRUE TRUE FALSE
"10" 5 190 347 -4.930477 TRUE TRUE FALSE
"11" 6 275 112 -1.839261 TRUE TRUE FALSE
"12" 6 256 102 3.347706 TRUE TRUE FALSE
"13" 7 345 44 -1.556174 TRUE FALSE FALSE
"14" 7 333 30 5.773983 TRUE FALSE FALSE
"15" 8 271 205 1.115807 TRUE TRUE TRUE
"16" 8 292 220 -3.523319 TRUE TRUE TRUE
"17" 9 84 94 1.2502 TRUE TRUE TRUE
"18" 9 99 109 -3.664834 TRUE TRUE TRUE
"19" 10 100 277 1.545464 TRUE FALSE FALSE
"20" 10 83 297 -4.769034 TRUE FALSE FALSE
"21" 11 19 56 -2.820758 TRUE TRUE TRUE
"22" 11 6 43 4.281466 TRUE TRUE TRUE
"23" 12 88 126 2.784688 TRUE TRUE FALSE
"24" 12 70 141 -3.483692 TRUE TRUE FALSE
"25" 13 51 303 3.600113 TRUE TRUE TRUE
"26" 13 71 323 -1.207631 TRUE TRUE TRUE
"27" 14 129 290 3.068476 TRUE FALSE FALSE
"28" 14 112 306 -6.097998 TRUE FALSE FALSE
"29" 15 270 306 1.087488 TRUE FALSE FALSE
"30" 15 254 287 -4.54322 TRUE FALSE FALSE
"31" 16 82 344 3.827351 TRUE TRUE TRUE
"32" 16 65 359 -4.955143 TRUE TRUE TRUE
"33" 17 181 74 -0.2126509 TRUE FALSE FALSE
"34" 17 162 64 4.6410981 TRUE FALSE FALSE
"35" 18 157 21 -0.9632926 TRUE TRUE FALSE
"36" 18 144 39 5.6600204 TRUE TRUE FALSE
"37" 19 30 22 -2.917418 TRUE TRUE FALSE
"38" 19 18 5 6.132602 TRUE TRUE FALSE
"39" 20 153 326 1.576773 TRUE FALSE FALSE
"40" 20 140 337 -4.239422 TRUE FALSE FALSE
"41" 21 249 69 -2.586093 TRUE TRUE FALSE
"42" 21 261 49 3.726252 TRUE TRUE FALSE
"43" 22 273 68 -1.72969 TRUE TRUE TRUE
"44" 22 293 81 5.602209 TRUE TRUE TRUE
"45" 23 12 134 -1.905527 TRUE TRUE FALSE
"46" 23 28 115 5.608319 TRUE TRUE FALSE
"47" 24 230 310 3.815846 TRUE TRUE TRUE
"48" 24 218 324 -4.904396 TRUE TRUE TRUE
"49" 25 173 262 2.112381 TRUE FALSE FALSE
"50" 25 155 248 -6.071068 TRUE FALSE FALSE
"51" 26 308 280 2.599533 TRUE TRUE FALSE
"52" 26 321 292 -3.015255 TRUE TRUE FALSE
"53" 27 86 61 -4.738075 TRUE TRUE FALSE
"54" 27 69 72 2.115998 TRUE TRUE FALSE
"55" 28 346 289 6.061066 TRUE FALSE FALSE
"56" 28 358 302 -1.072896 TRUE FALSE FALSE
"57" 29 287 129 -0.5941373 TRUE TRUE FALSE
"58" 29 302 112 3.9977687 TRUE TRUE FALSE
"59" 30 33 164 -1.854631 TRUE TRUE FALSE
"60" 30 14 154 4.841401 TRUE TRUE FALSE
"61" 31 277 18 -3.532192 TRUE FALSE FALSE
"62" 31 296 8 3.785789 TRUE FALSE FALSE
"63" 32 187 287 4.274637 TRUE TRUE TRUE
"64" 32 208 306 -2.461476 TRUE TRUE TRUE
"65" 33 55 218 3.701313 TRUE TRUE TRUE
"66" 33 40 230 -1.213134 TRUE TRUE TRUE
"67" 34 79 223 2.414526 TRUE FALSE FALSE
"68" 34 96 212 -3.331172 TRUE FALSE FALSE
"69" 35 312 315 2.379998 TRUE TRUE TRUE
"70" 35 331 331 -4.539804 TRUE TRUE TRUE
"71" 36 12 319 3.949797 TRUE TRUE TRUE
"72" 36 2 332 -0.967776 TRUE TRUE TRUE
"73" 37 275 331 4.796151 TRUE TRUE FALSE
"74" 37 290 317 -0.488112 TRUE TRUE FALSE
"75" 38 155 279 5.227435 TRUE FALSE FALSE
"76" 38 146 267 -2.182455 TRUE FALSE FALSE
"77" 39 342 242 0.877785 TRUE FALSE FALSE
"78" 39 360 231 -4.799942 TRUE FALSE FALSE
"79" 40 326 183 0.01867182 TRUE TRUE FALSE
"80" 40 345 199 -4.86508318 TRUE TRUE FALSE
"81" 41 277 243 -0.07893673 TRUE TRUE FALSE
"82" 41 261 228 4.94223727 TRUE TRUE FALSE
"83" 42 290 44 -0.8066029 TRUE FALSE FALSE
"84" 42 311 28 4.9202971 TRUE FALSE FALSE
"85" 43 88 29 -4.349565 TRUE TRUE TRUE
"86" 43 74 12 2.616591 TRUE TRUE TRUE
"87" 44 17 87 -7.83923 TRUE TRUE FALSE
"88" 44 8 106 0.479 TRUE TRUE FALSE
"89" 45 129 78 -3.217727 TRUE FALSE FALSE
"90" 45 111 64 4.477486 TRUE FALSE FALSE
