"pointID" "x" "y" "transectID" "enviVals" "T90.9x10s" "T60.6x10s" "T30.3x10s" "T30.6x5s"
"1" 1 113 314 1 8.567796 TRUE TRUE NA TRUE
"2" 2 108 307 1 8.095562 TRUE TRUE NA NA
"3" 3 100 311 1 7.616747 TRUE TRUE NA NA
"4" 4 87 311 1 6.765619 TRUE TRUE NA NA
"5" 5 72 311 1 3.420249 TRUE TRUE NA TRUE
"6" 6 57 311 1 3.358112 TRUE TRUE NA TRUE
"7" 7 39 308 1 -0.5066964 TRUE TRUE NA NA
"8" 8 27 303 1 -5.29372 TRUE TRUE NA TRUE
"9" 9 23 298 1 -1.835229 TRUE TRUE NA TRUE
"10" 10 13 294 1 -0.6185503 TRUE TRUE NA NA
"11" 1 153 250 2 7.552233 TRUE TRUE TRUE TRUE
"12" 2 142 259 2 5.729769 TRUE TRUE TRUE NA
"13" 3 143 269 2 6.027163 TRUE TRUE TRUE NA
"14" 4 150 274 2 6.751993 TRUE TRUE TRUE NA
"15" 5 166 278 2 4.362248 TRUE TRUE TRUE TRUE
"16" 6 181 277 2 3.391367 TRUE TRUE TRUE NA
"17" 7 193 274 2 -1.291063 TRUE TRUE TRUE NA
"18" 8 206 280 2 -1.085786 TRUE TRUE TRUE TRUE
"19" 9 214 287 2 0.7465111 TRUE TRUE TRUE TRUE
"20" 10 225 286 2 -2.876271 TRUE TRUE TRUE TRUE
"21" 1 352 303 3 5.190182 TRUE NA NA NA
"22" 2 347 298 3 7.25503 TRUE NA NA NA
"23" 3 341 295 3 7.284702 TRUE NA NA NA
"24" 4 335 290 3 5.304034 TRUE NA NA NA
"25" 5 324 286 3 6.859693 TRUE NA NA NA
"26" 6 316 279 3 3.102326 TRUE NA NA NA
"27" 7 307 273 3 1.984489 TRUE NA NA NA
"28" 8 299 264 3 -0.3658189 TRUE NA NA NA
"29" 9 291 254 3 -1.316355 TRUE NA NA NA
"30" 10 285 248 3 0.2149855 TRUE NA NA NA
"31" 1 305 232 4 5.780669 TRUE TRUE TRUE TRUE
"32" 2 310 221 4 5.141051 TRUE TRUE TRUE NA
"33" 3 298 222 4 4.431121 TRUE TRUE TRUE NA
"34" 4 301 214 4 4.522427 TRUE TRUE TRUE TRUE
"35" 5 294 204 4 -0.2824286 TRUE TRUE TRUE NA
"36" 6 290 199 4 -2.676031 TRUE TRUE TRUE TRUE
"37" 7 280 192 4 -2.551984 TRUE TRUE TRUE TRUE
"38" 8 272 187 4 0.01172464 TRUE TRUE TRUE NA
"39" 9 267 179 4 -1.840237 TRUE TRUE TRUE NA
"40" 10 255 173 4 -1.026032 TRUE TRUE TRUE TRUE
"41" 1 199 186 5 1.892196 TRUE NA NA NA
"42" 2 185 191 5 2.811939 TRUE NA NA NA
"43" 3 175 195 5 2.657413 TRUE NA NA NA
"44" 4 167 185 5 1.355086 TRUE NA NA NA
"45" 5 152 185 5 -1.695653 TRUE NA NA NA
"46" 6 140 181 5 -2.862835 TRUE NA NA NA
"47" 7 150 170 5 -2.239322 TRUE NA NA NA
"48" 8 155 158 5 -1.564127 TRUE NA NA NA
"49" 9 154 145 5 -1.755643 TRUE NA NA NA
"50" 10 154 128 5 -4.901253 TRUE NA NA NA
"51" 1 91 215 6 4.859664 TRUE TRUE NA NA
"52" 2 78 218 6 1.895926 TRUE TRUE NA NA
"53" 3 64 218 6 4.131682 TRUE TRUE NA NA
"54" 4 51 216 6 6.256158 TRUE TRUE NA TRUE
"55" 5 44 212 6 4.224015 TRUE TRUE NA NA
"56" 6 37 196 6 -0.2705317 TRUE TRUE NA NA
"57" 7 34 184 6 -2.214091 TRUE TRUE NA TRUE
"58" 8 23 175 6 -2.213411 TRUE TRUE NA TRUE
"59" 9 16 165 6 -3.488426 TRUE TRUE NA TRUE
"60" 10 10 160 6 -5.004911 TRUE TRUE NA TRUE
"61" 1 65 140 7 5.808244 TRUE NA NA NA
"62" 2 72 132 7 3.500231 TRUE NA NA NA
"63" 3 79 121 7 4.078697 TRUE NA NA NA
"64" 4 84 108 7 2.799445 TRUE NA NA NA
"65" 5 84 93 7 1.186914 TRUE NA NA NA
"66" 6 74 79 7 -3.798044 TRUE NA NA NA
"67" 7 69 64 7 -8.215051 TRUE NA NA NA
"68" 8 86 63 7 -5.446475 TRUE NA NA NA
"69" 9 103 65 7 -6.586057 TRUE NA NA NA
"70" 10 117 62 7 -4.031413 TRUE NA NA NA
"71" 1 227 75 8 -2.14143 TRUE TRUE TRUE NA
"72" 2 212 73 8 0.3612804 TRUE TRUE TRUE NA
"73" 3 200 71 8 -0.3166092 TRUE TRUE TRUE NA
"74" 4 187 71 8 1.037545 TRUE TRUE TRUE TRUE
"75" 5 175 71 8 1.459909 TRUE TRUE TRUE TRUE
"76" 6 159 65 8 -5.385692 TRUE TRUE TRUE TRUE
"77" 7 153 54 8 -4.682936 TRUE TRUE TRUE NA
"78" 8 145 48 8 -6.57658 TRUE TRUE TRUE TRUE
"79" 9 137 44 8 -6.80525 TRUE TRUE TRUE TRUE
"80" 10 143 28 8 -3.650129 TRUE TRUE TRUE NA
"81" 1 280 47 9 -1.120988 TRUE TRUE NA TRUE
"82" 2 290 51 9 1.428577 TRUE TRUE NA TRUE
"83" 3 299 55 9 -1.101758 TRUE TRUE NA NA
"84" 4 311 57 9 -2.042701 TRUE TRUE NA TRUE
"85" 5 319 68 9 -4.212381 TRUE TRUE NA NA
"86" 6 317 76 9 -6.182579 TRUE TRUE NA TRUE
"87" 7 307 79 9 -5.630238 TRUE TRUE NA NA
"88" 8 299 83 9 -4.216912 TRUE TRUE NA NA
"89" 9 290 87 9 -4.864467 TRUE TRUE NA NA
"90" 10 279 94 9 -4.859879 TRUE TRUE NA TRUE
