"pointID" "x" "y" "transectID" "enviVals" "T90.9x10s" "T60.6x10s" "T30.3x10s" "T30.6x5s"
"1" 1 85 341 1 5.935336 TRUE TRUE TRUE TRUE
"2" 2 85 333 1 4.452421 TRUE TRUE TRUE NA
"3" 3 81 327 1 5.572368 TRUE TRUE TRUE NA
"4" 4 86 320 1 5.91246 TRUE TRUE TRUE NA
"5" 5 91 310 1 2.084448 TRUE TRUE TRUE NA
"6" 6 96 301 1 1.192369 TRUE TRUE TRUE TRUE
"7" 7 101 293 1 -0.1790264 TRUE TRUE TRUE NA
"8" 8 108 284 1 -3.37292 TRUE TRUE TRUE TRUE
"9" 9 99 275 1 -2.674329 TRUE TRUE TRUE TRUE
"10" 10 90 270 1 -2.834226 TRUE TRUE TRUE TRUE
"11" 1 156 295 2 7.387379 TRUE TRUE NA NA
"12" 2 169 291 2 8.930061 TRUE TRUE NA NA
"13" 3 164 312 2 9.029418 TRUE TRUE NA TRUE
"14" 4 180 301 2 8.098402 TRUE TRUE NA TRUE
"15" 5 194 299 2 2.913736 TRUE TRUE NA NA
"16" 6 208 299 2 1.271316 TRUE TRUE NA NA
"17" 7 210 312 2 -1.267762 TRUE TRUE NA TRUE
"18" 8 225 308 2 -0.6423328 TRUE TRUE NA TRUE
"19" 9 238 303 2 0.5045491 TRUE TRUE NA TRUE
"20" 10 240 291 2 -0.5929944 TRUE TRUE NA NA
"21" 1 274 349 3 5.755574 TRUE NA NA NA
"22" 2 282 354 3 6.798555 TRUE NA NA NA
"23" 3 291 357 3 7.704078 TRUE NA NA NA
"24" 4 305 354 3 4.570853 TRUE NA NA NA
"25" 5 320 354 3 2.281417 TRUE NA NA NA
"26" 6 325 344 3 0.9552713 TRUE NA NA NA
"27" 7 324 332 3 -0.3482922 TRUE NA NA NA
"28" 8 315 328 3 0.9030802 TRUE NA NA NA
"29" 9 305 321 3 0.8106304 TRUE NA NA NA
"30" 10 293 315 3 -1.318117 TRUE NA NA NA
"31" 1 314 240 4 3.91115 TRUE TRUE NA NA
"32" 2 311 229 4 6.138815 TRUE TRUE NA TRUE
