"PairID" "X_Pops" "Y_Pops" "EnviVal" "P90" "P60" "P30"
"1" 1 314 345 1.726613 TRUE TRUE TRUE
"2" 1 296 359 -5.831432 TRUE TRUE TRUE
"3" 2 195 27 -4.388109 TRUE TRUE TRUE
"4" 2 210 45 4.112453 TRUE TRUE TRUE
"5" 3 328 96 -3.156119 TRUE FALSE FALSE
"6" 3 313 106 2.428488 TRUE FALSE FALSE
"7" 4 225 231 1.914294 TRUE TRUE TRUE
"8" 4 245 249 -2.749114 TRUE TRUE TRUE
"9" 5 173 329 5.813299 TRUE TRUE FALSE
"10" 5 185 349 -3.675249 TRUE TRUE FALSE
"11" 6 77 158 -0.1219406 TRUE TRUE FALSE
"12" 6 67 172 4.4337154 TRUE TRUE FALSE
"13" 7 275 112 -2.971279 TRUE FALSE FALSE
"14" 7 261 102 5.028975 TRUE FALSE FALSE
"15" 8 345 44 -1.280245 TRUE FALSE FALSE
"16" 8 327 30 4.492205 TRUE FALSE FALSE
"17" 9 130 191 1.923833 TRUE TRUE TRUE
"18" 9 141 181 -4.280076 TRUE TRUE TRUE
"19" 10 84 94 -4.150267 TRUE TRUE TRUE
"20" 10 74 110 4.015478 TRUE TRUE TRUE
"21" 11 170 137 -6.628001 TRUE TRUE TRUE
"22" 11 152 120 -1.574614 TRUE TRUE TRUE
"23" 12 88 126 0.4722251 TRUE FALSE FALSE
"24" 12 79 138 -4.5477119 TRUE FALSE FALSE
"25" 13 51 303 1.092329 TRUE TRUE FALSE
"26" 13 33 316 -4.797627 TRUE TRUE FALSE
"27" 14 282 43 -3.736663 TRUE FALSE FALSE
"28" 14 300 31 3.462317 TRUE FALSE FALSE
"29" 15 129 290 1.496063 TRUE TRUE TRUE
"30" 15 150 300 -4.345602 TRUE TRUE TRUE
"31" 16 270 306 1.015382 TRUE TRUE TRUE
"32" 16 254 326 -5.182415 TRUE TRUE TRUE
"33" 17 82 344 4.098133 TRUE TRUE FALSE
"34" 17 64 359 -2.949251 TRUE TRUE FALSE
"35" 18 181 74 -1.073588 TRUE FALSE FALSE
"36" 18 167 55 4.000082 TRUE FALSE FALSE
"37" 19 30 22 -3.206347 TRUE TRUE FALSE
"38" 19 21 38 2.477229 TRUE TRUE FALSE
"39" 20 15 256 4.746191 TRUE TRUE FALSE
"40" 20 6 266 -0.266742000000001 TRUE TRUE FALSE
"41" 21 220 94 -5.352083 TRUE TRUE TRUE
"42" 21 237 105 3.217127 TRUE TRUE TRUE
"43" 22 120 22 -5.212449 TRUE FALSE FALSE
"44" 22 111 7 1.804863 TRUE FALSE FALSE
"45" 23 249 69 -0.9903764 TRUE FALSE FALSE
"46" 23 232 59 7.2726226 TRUE FALSE FALSE
"47" 24 12 134 -0.1556974 TRUE FALSE FALSE
"48" 24 2 116 4.5941166 TRUE FALSE FALSE
"49" 25 191 235 0.8104832 TRUE TRUE FALSE
"50" 25 173 255 -5.4185258 TRUE TRUE FALSE
"51" 26 308 280 1.410923 TRUE TRUE TRUE
"52" 26 320 295 -4.896927 TRUE TRUE TRUE
"53" 27 334 228 0.6756521 TRUE TRUE FALSE
"54" 27 315 212 -5.7259269 TRUE TRUE FALSE
"55" 28 228 170 1.042415 TRUE TRUE FALSE
"56" 28 219 155 -3.688718 TRUE TRUE FALSE
"57" 29 71 304 2.068825 TRUE TRUE FALSE
"58" 29 89 319 -4.512357 TRUE TRUE FALSE
"59" 30 277 18 -6.220702 TRUE TRUE FALSE
"60" 30 288 6 2.253352 TRUE TRUE FALSE
"61" 31 187 287 5.841851 TRUE TRUE TRUE
"62" 31 172 300 -3.776685 TRUE TRUE TRUE
"63" 32 55 218 1.192162 TRUE FALSE FALSE
"64" 32 36 204 -4.974078 TRUE FALSE FALSE
"65" 33 289 251 1.909516 TRUE FALSE FALSE
"66" 33 310 233 -3.0376 TRUE FALSE FALSE
"67" 34 12 319 0.6674803 TRUE TRUE TRUE
"68" 34 2 339 -5.7036127 TRUE TRUE TRUE
"69" 35 314 159 -0.1312054 TRUE FALSE FALSE
"70" 35 301 139 5.0253836 TRUE FALSE FALSE
"71" 36 344 184 -4.603818 TRUE TRUE TRUE
"72" 36 360 174 -0.130861 TRUE TRUE TRUE
"73" 37 105 58 -2.6185 TRUE FALSE FALSE
"74" 37 86 46 2.21152 TRUE FALSE FALSE
"75" 38 107 246 4.095255 TRUE TRUE TRUE
"76" 38 122 236 -1.743908 TRUE TRUE TRUE
"77" 39 125 344 0.7376823 TRUE TRUE FALSE
"78" 39 146 360 -5.2185487 TRUE TRUE FALSE
"79" 40 273 264 2.744944 TRUE FALSE FALSE
"80" 40 286 284 -3.4507 TRUE FALSE FALSE
"81" 41 261 152 -0.8709228 TRUE TRUE FALSE
"82" 41 243 142 3.6431132 TRUE TRUE FALSE
"83" 42 58 283 2.565032 TRUE FALSE FALSE
"84" 42 43 272 -3.489512 TRUE FALSE FALSE
"85" 43 171 180 4.459299 TRUE TRUE FALSE
"86" 43 162 190 -2.440793 TRUE TRUE FALSE
"87" 44 119 269 -1.855199 TRUE TRUE TRUE
"88" 44 110 280 3.11192 TRUE TRUE TRUE
"89" 45 17 87 -1.205389 TRUE TRUE FALSE
"90" 45 34 98 5.858704 TRUE TRUE FALSE
